"","Lacz.1","Lacz.2","Lacz.3","Yap.1","Yap.2","Yap.3"
"ENSMUSG00000014355_Anapc1",6.75854685798664,6.75678040899442,6.76308567126318,6.58811563163516,6.56012992556349,6.38765589025426
"ENSMUSG00000014361_Mertk",1.06976548869556,2.06914390828057,1.75330345904603,2.31503928177469,3.25538011293034,2.64616172635585
"ENSMUSG00000014353_Tmem87b",5.45300946954999,5.46853689947131,5.47037559208555,5.2445532917022,5.18727681516733,4.96961878010324
"ENSMUSG00000027386_Fbln7",-2.08936759211186,-1.87026226930541,-0.380747420622314,0.189121713955288,0.334469383296212,-0.0329164258242808
"ENSMUSG00000027387_Zc3h8",3.88601434623912,3.86014943960501,3.91991347178258,3.37356554786555,3.43035210077663,3.14785366051528
"ENSMUSG00000074807_Gm10762",0.0792315828826861,-0.393388142353291,-0.246166955908106,-0.0164770493495508,-0.133306305767594,-0.515782963895608
"ENSMUSG00000042851_Zc3h6",5.48897755721014,5.36347772338695,5.37613533762393,5.29735772366304,5.25480071547326,5.00638694108107
"ENSMUSG00000090248_Gm14027",2.05955203270058,1.95276792475527,1.7371456580153,0.695622879560896,1.29599107878197,1.04564115517857
"ENSMUSG00000087151_Gm14022",0.10064498151374,-0.318342354661266,-0.142876007765012,-1.16476822201292,-0.829906827908217,-1.64258261573969
"ENSMUSG00000027394_Ttl",2.62270951882241,2.57152696261534,2.32144668989666,2.39336005088398,2.51305802948321,2.11317696083624
"ENSMUSG00000027395_Polr1b",4.24210405816254,4.35451584807988,4.34997316381613,4.20183585444978,4.1949779504974,4.15979314349452
"ENSMUSG00000037938_Chchd5",0.769055627087321,0.796573785239959,1.07533748649572,1.27928478597609,0.813203025999529,0.492749241613145
"ENSMUSG00000103009_Gm4430",-1.03580355699361,-1.76685136058359,-1.09645631969503,-1.43314330589153,-1.20449062778414,-1.95963118502826
"ENSMUSG00000027397_Slc20a1",5.79633114041117,5.86851970177189,5.76911858766285,5.52908806912981,5.5947244790071,5.48354996959395
"ENSMUSG00000056738_A730036I17Rik",-0.819261974441526,-0.894972989674043,-0.40445064417801,-0.369362496074896,-0.223294909906593,-0.0329164258242808
"ENSMUSG00000048327_Ckap2l",-4.46074073113444,-3.83100668863085,-3.25553252223731,-1.2927242344107,-0.162683221085243,-0.439624846210565
"ENSMUSG00000085498_Gm14023",0.598921160279901,0.455343561801449,0.749905430896268,0.578596401638527,0.435950120793434,-0.568884410893622
"ENSMUSG00000037902_Sirpa",2.88273438600053,2.84891300805925,3.18443136327887,4.30490567581229,4.70333702889482,3.96807214228855
"ENSMUSG00000037885_Stk35",5.35895889299678,5.33251984096604,5.36434878432946,5.68796046691367,5.52906242756357,5.51618565534143
"ENSMUSG00000027404_Snrpb",4.18059221989086,4.26888459108183,4.37716374468418,4.27418603934498,4.11307867072339,4.00714880312494
"ENSMUSG00000027405_Nop56",3.68981376272733,3.6728188667574,3.69580345482206,3.82915316127817,3.91288696143565,3.89274303793588
"ENSMUSG00000027406_Idh3b",5.54813765325217,5.46588544271486,5.64975590240418,5.21250661752539,5.25480071547326,5.14268619687147
"ENSMUSG00000053552_Ebf4",-0.402965397821335,-0.0520031158452886,-0.754333046972332,-0.59824859692844,-0.386998490619685,-0.298402251900697
"ENSMUSG00000027408_Cpxm1",0.909140767431075,0.986140793339446,1.09237407304131,1.08701142606407,0.735713049010589,0.238353246041881
"ENSMUSG00000037773_Pced1a",3.69334167657978,3.53794723262965,3.60671692019362,3.55953214160052,3.5841711524192,3.2452836536742
"ENSMUSG00000027411_Vps16",3.71952957844715,3.76197716036119,3.71655472344659,3.87081424663184,3.91112566863323,3.79104395052518
"ENSMUSG00000027303_Ptpra",6.98124371950808,7.01322610341287,7.04474662378473,6.7132783199935,6.80693555146623,6.58078148621629
"ENSMUSG00000037740_Mrps26",1.27204870736658,1.26766636138433,1.65925336134107,1.40834472612208,1.48781054894232,1.39669629542688
